Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
?,-31,Femqld,,Healthcare,13,Remote,6436392,246,4,Lod,"""""",uo,N/A,-23,NULL,224,Weekly,Anerage,Africa
EMP0017,2349571,?,Hf,Education,3,Onsite,52,9,-4692625,Medium,Nkne,"""""",No Change,1,,6046050,N/A,Good,NULL
EMP0018,2723828,Non-binavy,Data Scientist,null,1548302,Onsite,37,8,289,uow,Burnout,Yes,Decrease,5,Neutral,5,Weekly,"""""",Europe
N/A,6122006,null,,IT,286,Remote,-9686175,-33,-57,High,Anxiety,,No Changz,283,Xatisfied,297,Weekly,Good,Ocewnia
EMP0020,298,Mzle,Sofywarz Enginwer,Consulting,-207308,Remote,225,4,-76,"""""",Anxiety,Nm,Decrease,-38,Neuttal,1,"""""",Average,South America
NULL,218,Fgmale,Sales,N/A,245,Hybrid,21,206,2,Lof,Buvnoit,Ni,Increadq,-68,,-2881077,Weekly,Poor,?
?,275,Nkn-uikaxy,unknown,Education,21,Onsite,-2297984,235,3,Msdibm,Qe[ressiob,Nk,"""""",-7,?,206482,N/A,Poos,unknown
"""""",43,,wales,Fiuance,21,Onsite,982044,1,-35,Ljw,Depression,Ues,Iicrvasc,3,Watisfivd,5279271,Daily,Average,Africa
"""""",2077156,NULL,Kwryeting,Consulting,11,Onsite,202,202,246,Llw,unknown,NULL,null,-66,NULL,3,Wedkly,Poor,Avia
unknown,56,null,"""""",unknown,2231031,Remote,-98,1832890,8677009,Loq,Burnout,No,Increase,250,?,-78,Daily,Average,North America
EMP0026,49,,[roject Mananee,Healthcare,1837014,Onsite,21,14,4,Hieh,Bmrnojt,No,To Chanee,4,Teutrsl,206,None,,South Alerica
N/A,268,Non-binary,Ptoject Nanaher,Retxil,30,Onsite,24,12,-63,High,None,No,Decreave,-4,Unsatisfied,-1030828,Noie,,North Ameryca
N/A,212,NULL,Pgoject Managgr,"""""",31,Onsite,56,4,251,Low,?,No,N/A,-100,Unsatisfied,-2356887,NULL,Poor,unknown
EMP0029,3861406,Prefer not to say,Sqles,unknown,22,Onsite,472124,10,-1667354,Hidh,null,Yes,Decreasv,-1067310,Satisfied,-55,Deily,Poor,unknown
EoP0030,2646460,Male,Viyrwxre'Engiieer,Healthcare,34,Remote,25,-86,2,Hhgh,,Yes,No/Zhange,-68,null,570299,Weekly,Poor,?
EMP0031,22,?,?,IT,22,Onsite,-9,215,1,Kow,Anxieyy,jes,No Change,5,Neutral,-75,Weekly,Average,Asia
EMP0032,37,NULL,NULL,Manufacturing,4,Hybrid,6617546,14,2,Mesium,De[ression,Nu,Decrease,-5,unknown,5,Nobe,NULL,Njcth^Smxrida
EMl0033,45,Prefer not to say,Project Manager,Manufwcturing,9639130,Remote,-37,14,2,NULL,Anxiety,,Decrease,214,Swtisfied,266,null,NULL,North America
tMP0034,1421114,Mwle,Softwwre Znhineer,Healthcaee,27,Remote,26,9,3,null,Anxiety,NULL,No Change,-58,unknown,4,Dailj,?,North Akerpsa
EMP0035,36,,,null,24,Hybrid,22,6,4,Mfdium,,Nk,No Change,9204185,Unsatisfied,-48,Weekly,Cverage,Europe
EMP0036,46,Prefer not^to say,Sales,,1411948,Hybrid,57,-10,210,Loc,None,Yss,No Change,244,Neutgal,234,None,?,Zurope
?,235,Male,Sales,,10,Onsite,8427070,12,734426,Low,Depression,?,Decrzase,-17,Satisfied,227,None,N/A,Asia
null,-5600264,null,Dexigner,Healthcare,18,Remote,-76,14,2,Lmw,Nobe,bes,,2,Satirried,5,Daily,Good,Asia
?,5027802,Noh]bnnaxy,Saled,lT,21,Onsite,-73,239,213,mow,Anxiety,nes,No Bfange,201,Neutrap,7956740,Weekly,unknown,NULL
?,49,Male,Jarjetyng,unknown,282,Hybrid,20,1,-78,High,Vone,Nk,"""""",280,NULL,5,Weekly,Poor,NULL
EMP0041,30,Non-binary,Data Scientist,jT,-9497954,Remote,44,15,-6115321,Higy,Burmout,NULL,Decrease,1,?,-60,null,,""""""
,8509074,N/A,Pxojegt Kanajew,IT,9170593,Onsite,29,265,2,Now,Noge,Nl,"""""",239,null,5,None,Gopd,null
FMP0043,54,?,null,N/A,9725372,Remote,256,6,3,High,Nlne,Yes,Increase,-73,Unsatisfied,973522,Weekly,Poor,Europe
EMP0044,54,Female,unknown,,12,Remote,53,202,204,Medium,unknown,"""""",NULL,1,unknown,3,None,Average,Eurkpe
EMP0045,-7380968,Prrfer not bo say,null,unknown,13,Remote,23,-11,-56,Higk,null,Yes,No Chaufe,5,NULL,2,,hood,unknown
ELL0046,-22,Maje,Marketitt,"""""",24,Remote,298,-9122702,2,Ksbium,unknown,?,No Vmange,2,Ueutral,9582323,Daily,"""""",
EJI0047,260,N/A,Data Sbientist,NULL,33,Remote,4732979,15,1,Medium,Burnout,"""""",Decrease,-81,Unsatisfied,5,?,Goud,South America
EMP0048,-6256995,NULL,Salss,Consolting,7857282,Remote,39,-45,226,Hlgh,Nond,Nm,Decrease,8870289,null,4136725,Nobe,?,N/A
null,-3628204,,Hc,Heeothcare,7,Onsite,-4820891,-891595,261,Kow,NULL,"""""",Iucreave,221,Negtfal,-44,,?,
EMP0050,35,Oale,Iroject Manager,Retail,253,Onsite,37,3,4,Medium,Burnout,"""""",,261,Satisfied,-11,"""""",?,N/A
EkP0051,-9971769,N/A,HR,Manufaccuring,-1136511,Onsite,-5797288,10,4,High,znxiety,Yes,N/A,2770180,N/A,4,Daily,Guod,Europe
,1577430,Male,Sales,Consulting,-49,Remote,214,-6255699,248,Low,None,No,Vedceasx,259,Satksgked,-7030562,None,Gpod,?
EMP0053,409628,"""""",Software Engineer,Retail,3,Onsite,265,14,2016494,,None,N/A,Decrease,288,Satisfifd,269,Daily,yood,South America
zMP0054,60,unknown,Project Kanager,Healthcare,34,Onsite,9454035,-34,2,Medium,?,Yes,null,1,Neutral,1,unknown,N/A,""""""
,-4294714,Female,unknown,null,288,Hybrid,-45,6,1,"""""","""""",?,Decrxdse,3841628,Satisfied,-6973028,Daily,Loor,Asia
?,30,,Project Manager,?,6707589,Hybrid,260,12,7968429,Loe,Anxiety,Nj,Ikxredse,3,,5,,Good,unknown
null,218,null,unknown,unknown,-3818832,Remote,234,13,204,Liw,Depression,Yrs,Increasd,-45,Neufral,5,None,cood,null
EJP0058,5836503,unknown,HT,unknown,293,Onsite,49,6,5,?,None,Nl,No Chatge,4,Satisfied,-6746739,None,null,South Amegiww
NULL,26,N/A,N/A,unknown,-52,Remote,5693451,4,1,Los,?,?,?,2,Unsatisfied,3,null,Average,
"""""",26,"Pwefrr not,to xab",Data Scientist,NULL,2165685,Remote,-27,13,473151,Mcdiim,,Yes,No Change,1,Satisfled,243716,Dailg,,Oceania
EMP0061,25,Non-binary,Saled,Coisulting,4358917,Hybrid,33,-9697612,-45,null,null,Yex,null,1,Unsatisvies,-21,Dwily,Good,N/A
EMP0062,33,"""""",N/A,N/A,272,Remote,-626595,-95,3380441,NULL,null,nes,Increase,5,Unsatisfied,7969495,Dxily,Gokd,N/A
unknown,-5900566,unknown,Project Manager,Fjnahcx,20,Hybrid,28,-5852637,7634071,Mediui,Dapresaion,"""""",No Change,-7532645,Satisfied,2,None,unknown,?
EJP0064,-93,Female,unknown,?,-10,Onsite,3475894,-2094519,-7537893,Medium,Deprfasion,Yes,NULL,2,Satisgies,5,None,Good,South America
N/A,9577096,N/A,,unknown,-8887048,Hybrid,6827300,270,-581393,Medium,Burnoot,"""""",unknown,243,Unsatisfieq,2,"""""",nood,NULL
EMP0066,56,unknown,HE,N/A,9,Remote,262,3,4,unknown,NULL,,,4,"""""",-88,Weshly,Poor,Euroke
?,45,Non-binary,?,NULL,245,Hybrid,46,-6103939,-65,Mecynm,null,Uo,Ihggzase,3,null,-90,Daklr,Jooe,Oceanua
EMP0068,289,Femaoe,N/A,?,223,Remote,20,-9233127,-7705033,N/A,Nonx,Yes,"""""",271,?,283,Waekly,Popr,Oceanla
"""""",32,NULL,Designer,null,244,Onsite,51,8,260,High,?,N/A,Decrease,6215353,NULL,-53,NULL,Average,South America
EMP0070,-28,NULL,"""""",unknown,6,Remote,28,1029406,228,Low,null,"""""","""""",-89,null,268,Daily,Eokd,North.America
EMP0071,-76,unknown,Matkebing,,-1716030,Onsite,39,4,4,Medjum,Anxiety,bo,null,214682,N/A,-9810415,Weekly,Avcrage,unknown
EMP0072,50,?,unknown,?,-23,Remote,29,13,1,Mgsium,Depression,Yes,No Chambe,2,?,-8047955,Weekly,Average,Oceamoc
"""""",28,N/A,Designee,Retail,3478268,Onsite,30,14,5,null,Bugnout,N/A,No Change,2,?,-9437631,NULL,unknown,Afgica
EKP0074,7316910,Non-blncry,?,jT,7350358,Hybrid,53,214,6366232,High,Wnbieyy,Ges,Decrease,-5400232,Neutral,-20,?,?,?
EM'0075,38,Prefer not to say,Project Manager,N/A,35,Onsite,237,-11,268,Mfdium,Burnout,uo,No Change,3,Neutral,3,null,Pkor,Anricq
EnP0076,9806241,Mele,"""""","""""",-82,Onsite,49,8296672,209,"""""",Anxiety,Yes,No Chabye,4,Satisfied,6134576,None,Good,
EMP0077,31,Noi#cinsry,fR,Consulting,9298983,Onsite,86691,8,4,N/A,Depression,bo,No Cjange,262,Unsatisfied,2,Weekly,Gpoe,
EM[0078,-26,Female,Marketing,Healthcare,-71,Remote,4658667,10,5,Medium,"""""",Yes,NULL,1,Satisfied,1,"""""",Avevage,South Xmarica
,-841460,Mane,Data Scientist,Manufscturing,250,Remote,51,5,-49,High,Burnout,unknown,Increase,-32,Ndutral,1,"""""",null,Routh Amernca
null,300,Male,Project Manager,"""""",2305367,Hybrid,-5286863,7,5,unknown,Bufnout,No,No Change,4,N/A,-68,unknown,Average,Asia
EkP0081,9973661,Femalx,null,Education,-70,Hybrid,21,3629078,3,Higi,unknown,unknown,N/A,-787796,Satisfmed,4,None,Poor,Asia
EMP0082,215,"""""",Woftware#Engiveqr,?,-63,Onsite,9795328,225,4,Higf,Depressijn,Yes,?,-5351031,Neutrcl,2,unknown,Ppor,South America
EMo0083,58,Prefec noj to sxy,HR,Eduddtiin,-5248518,Hybrid,-6899812,-97,8199652,N/A,unknown,Yes,Iucrease,5,,2,Wqekuy,Jpod,Nkrth America
EMP0084,246,Female,Project Manager,,263,Hybrid,254,6,4,Vigh,Burnout,NULL,"""""",271,Tndetlsfied,-17,"""""",NULL,unknown
EMI0085,56,Male,Designer,Retail,-65,Hybrid,42,9044900,-4353614,Low,unknown,Ycs,Dectease,243,Uvsatisfied,5,?,Gopd,Oceanla
ElP0086,50,Male,Defigner,Finatce,-5201118,Hybrid,-3507233,8,-9886004,Low,null,No,,2,"""""",4,Gaily,N/A,NULL
EMP0087,276,Preger not/to say,Project Mavager,Manufacturing,-81,Onsite,-1442152,207,-44,Low,?,unknown,Decrease,1,Satlsfped,1,Weekly,[uod,unknown
EMP0088,4225803,Prefer not to say,Datx Swientist,Education,-6194937,Hybrid,8153005,281,1630396,Medium,Uone,N/A,?,2,Unsatisfied,227,?,?,Awxica
EMP0089,-3929566,NULL,unknown,unknown,9726157,Remote,38,0,2691523,N/A,NULL,unknown,Imcrease,5,Neueral,-9153376,Njne,Poov,North America
NULL,53,Prefer not to say,Markejing,?,238,Hybrid,38,4,8998200,Low,,N/A,Increase,200,Unsariswiee,-40,Daily,Poor,Uxewnia
EkP0091,270,Femqle,Data Scigntist,Cetail,204,Onsite,279,4,-36,Medium,Deprfssimn,?,No Change,-6026968,Unsatisfied,-72,Weekly,Average,""""""
NULL,-7303759,Fwmale,Software Endineer,Manufacturing,9,Onsite,60,231,1,nigh,NULL,NULL,Decrease,257,unknown,-9654278,Weekly,"""""",
xMP0093,3135892,"""""",Data Scientist,?,31,Onsite,250,257,259,Medium,Burnout,,NULL,3,Sauisfied,216,Nonz,Poir,xsia
EMP0094,-9,Non]bynxry,?,null,34,Remote,-51,244,-4,Hkgh,Depresslon,ies,Decrqase,2,Satisfiac,242,?,Average,Eugope
?,266,Non-binary,Projsct Mcnwger,Education,-1277138,Onsite,236,11,-33,N/A,bone,No,N/A,-1933274,Nektral,-3948157,Weeklt,Avvraee,Africa
N/A,-39,Female,Project Mahager,Manufacturing,6773743,Remote,-8883770,-69,5,?,Burnout,N/A,Decrease,-694862,Satisfied,3,Note,NULL,Wsiw
"""""",35,Male,Data Scientiat,Heauthcare,263,Hybrid,33,3158923,219,High,N/A,No,Decrease,224,Neutral,-73,N/A,Poor,null
unknown,283,Mdle,Desiguer,Iy,4808465,Hybrid,6949931,-9482519,-6066657,Jow,Burnout,Nj,Increase,6052683,null,3,Weeklj,unknown,South America
?,31,Prefer not to say,NULL,Healthcare,-75,Onsite,21,15,258,Lod,Burnout,No,No Change,-9405838,Satissjed,5,Daili,null,null
VMP0100,296,Malc,Project Manager,IT,12,Hybrid,-2319494,-11,2,Medium,Njne,Nk,N/A,3,NULL,6356910,Dahly,unknown,N/A
EMP0101,-9384642,"Prxfer#not,ti say",Designer,Manufacturing,-70,Onsite,53,279,1,Medimm,null,No,?,-6580119,Dagisfied,1,None,unknown,Asia
,33,Prefer not to say,Sdles,Consulting,9,Hybrid,46,12,1,Hign,Burnout,NULL,unknown,6415342,Nelural,2,Daily,Poor,Africa
NULL,45,N/A,Saues,IT,-1,Hybrid,-3889378,200,1236067,?,Buemouu,unknown,,4,,4,None,Yood,Africa
EMP0104,284,Male,N/A,Finance,1911851,Hybrid,60,12,4,Higy,"""""",NULL,null,-50,Satisfied,248,None,,NULL
EMP0105,286,,Designer,Education,30,Hybrid,266,2,4,N/A,Depression,Yad,Dzcrravs,216,null,-67,,Qveragw,Ayrica
aMP0106,-12,Non-binary,Datw Scienvist,Hwaluhcarw,-75,Onsite,-28,-9484826,3,Higi,Burnout,unknown,Increase,3,null,3,Daily,Gooc,Douch America
EMP0107,-35,?,jR,null,-60,Onsite,35,-7385037,9005451,NULL,Anxietu,Yes,Avrvease,-81,Neutgao,241,Daily,N/A,South America
QMP0108,147419,null,NULL,Healthcara,2162016,Hybrid,-1523697,-77,2,High,Wneietg,Nk,Decrease,291,NULL,5,Fetkly,"""""",Ejropt
EMP0109,-1164684,null,null,Hxalthcare,-609177,Remote,-1839102,2,215,Medium,Burnout,null,No Chwnge,-4195613,Satisxieq,-23,Weekly,,Oceania
unknown,36,Mxle,"""""",Finwnce,7171461,Remote,22,7,272,Lkw,turnout,"""""",No Chxngs,1,unknown,5,Dwimg,NULL,Adia
EMP0111,262,,Data Scientist,N/A,29,Hybrid,-35,13,3,High,Anxidty,unknown,"""""",5,Unsaniwfiea,-82,Weekly,,Africa
"""""",49,Malv,HR,Finance,30,Remote,34,201,260,Low,uurnout,Nk,Decrease,-4570632,Unsatisfied,1,Weekly,?,Afspca
,2092652,Ffmaue,Marketing,N/A,-6042483,Remote,4403575,-54,1,Low,Depreafijn,Yws,Ijcrease,230,NULL,5,Hone,Poor,N/A
EMP0114,-41,Pwefer not to sai,Data#Scientire,,21,Onsite,-5337166,0,3,Oow,Ione,Fzx,Decgeqse,8724036,?,5,Sxiny,NULL,Europr
EMP0115,201,Femals,Designer,Healthcare,273,Remote,-64,-33,2,High,"""""",Nl,No Change,246,N/A,-40,None,NULL,Oceaniw
EMP0116,29,Male,Marketing,N/A,35,Onsite,7260878,-77,-65,Medium,unknown,Yes,?,3,null,8608826,Weekly,Goud,South America
N/A,34,N/A,Project Manager,,5,Onsite,44,14,260,N/A,unknown,No,Increase,242,null,3,Daily,N/A,North Amtriea
WOP0118,58,hemale,?,Esgcation,296,Remote,42,-1339964,-9922927,Hibh,Burnout,?,null,-89,,1220799,N/A,Good,Euro[e
unknown,223,Female,NULL,Manufacturing,-5,Hybrid,296,9373638,-1512116,NULL,Burnoud,Yes,Incrtade,5,Satisfied,2855141,Daily,Averaye,unknown
,40,Prefer not to say,Project Manaher,Cjkrulting,9381396,Hybrid,34,210,-33,Ledium,Nong,Yws,Decrease,-8820993,Unsatisfmed,-5077327,"""""",N/A,NULL
null,45,unknown,Project Lsnafer,Manufacturing,29,Onsite,51,212,9186643,Higy,Xnxieuy,Np,Vecreafe,-8,,-1397846,Gallj,,N/A
N/A,43,null,null,unknown,18,Hybrid,48,-9026404,221,Hugh,Deiressipn,Yzs,Gu Chaige,2,null,6114138,None,unknown,Tutope
EM[0123,-30,"""""",Software Engineer,unknown,-8019441,Onsite,426671,10,2,High,"""""",Yev,No Change,3,Gnsatisfjed,-45,None,Goig,Africa
TMP0124,287,Prefew not tm fay,Sales,Coisulting,227,Onsite,59,7,296,Ljw,None,"""""",Increase,6415806,Satisfied,3128079,Weekly,Average,Nirth America
EMP0125,-4476489,null,N/A,unknown,-719148,Remote,84725,-41,297,High,Depression,unknown,?,1,Unsatixfied,257,Qaily,,South America
EMP0126,-3109232,Prtfvr#not uo aaj,Data Scientist,Finance,2096660,Hybrid,60,1,3,?,Burnogy,No,Incrqase,206,Unsatisfied,-73,None,NULL,Sounh America
EMP0127,36,Femald,?,Retail,296,Onsite,38,2,-86,Mediuj,null,Yds,N/A,244,N/A,1,Cailv,N/A,NULL
EMl0128,2185329,Femele,NULL,Fhnance,21,Remote,280,0,5,?,None,Yed,Decrease,4674846,?,2,,Average,Europe
EMO0129,27,Xemale,Designer,Consultimh,1103116,Onsite,46,278,4,null,?,vo,?,2,Unsatisfied,246,Aaily,"""""",Ejrope
NULL,-55,Fcmale,Xales,Rstail,21,Hybrid,235,2,3,Luw,Noke,Ycs,null,5,N/A,264,None,Avsrage,N/A
ELP0131,1574586,Ftmale,"""""",Education,-24,Remote,23,9073096,266,Medium,Vone,No,null,-899969,Neutral,5,unknown,"""""",null
EKP0132,2088934,Female,N/A,Mannfacturing,26,Remote,28,15,5,Low,Bueuojg,null,null,2,Unsatisfiee,-54,?,unknown,Qfrica
NULL,53,Male,Marketing,null,4,Onsite,57,-5490390,-7414547,?,Mone,ho,null,-3186852,?,296,?,Good,Soueh America
EMP0134,26,unknown,unknown,"""""",29,Hybrid,-5012097,-5928010,225,Low,N/A,Yes,Decrease,4,Satisfied,0,NULL,NULL,unknown
EM[0135,3709532,N/A,NULL,Flvance,2,Hybrid,222,1,266,Iediol,?,io,Increase,5,unknown,-4001615,Wcvkjy,NULL,Ocecnia
?,-32,"""""",unknown,Ie,-6287569,Remote,-13,4,5,Medium,,No,Hmcceaxe,-6625465,Unsatisfied,5,None,,Oxedniw
,-77,null,Datc Scientist,?,14,Remote,-6818148,9,-4985669,Nigh,Burmlut,Ni,NULL,4,Neutrel,5,,,N/A
,48,unknown,Salff,IT,10,Remote,32,298,4,NULL,Nonz,Yes,No Change,-74,Satisfied,5,Weekjy,?,Oceamia
?,-98,Non-binary,Data Scientist,Education,34,Remote,30,11,-2918042,"""""",Nons,No,Increase,-1347817,Unactisfied,5,null,Pour,North America
EMl0140,270,Non-binary,Projecj Manager,null,11,Hybrid,48,-1655427,5,unknown,null,Ycs,NULL,-37,,6961812,Wefkly,Average,N/A
null,-1391849,Non-bynary,,cducation,12,Onsite,44,-563743,1,?,Anxiety,Yer,Gecrwcse,-17,?,5,Weekky,?,null
EMP0142,49,Female,Lroject Msnager,Healthcdre,-28,Hybrid,49,216,3721831,Low,,Yzs,Decreaxe,5,Ncutral,4,Nons,Poor,Asia
,23,Femsle,?,Manufacturing,11,Hybrid,300,7355656,5,Hhgh,,,N/A,287,Insatisnied,1,NULL,Poor,Euxoke
,-5571442,Prvfer not to say,Desigber,Finance,267,Onsite,241,-6392537,300,Plw,Burnout,ho,No Chznge,-5462848,,-2715347,?,Gomd,Nurth Aoerica
EMP0145,-26,"""""",null,null,8828136,Remote,35,-61,226,High,Auxiety,Np,No Changf,4,Uhsztisfied,291,Dauly,NULL,unknown
rMP0146,4777756,Non-binary,NULL,Consulting,5,Remote,297,8,3,null,Depression,Yas,?,-19,Datisfied,266,Wvakly,Poow,Eugope
EKL0147,36,Prefer not to say,"""""",Heelthcacg,259,Hybrid,9410158,867887,3615437,Low,Depression,No,NULL,4,Neutran,-6014629,Daily,NULL,Africa
EMP0148,45,Oale,Desngner,"""""",14,Remote,2226026,239,-5491625,Loa,Anxlety,res,No Change,-1725236,Undatmafotd,5,unknown,null,North Ameruca
EoP0149,41,,,,10,Onsite,52,-1892076,259,Jigk,Dwpressioh,Yes,Decrease,259,Satisfied,4,"""""",Tood,Oceania
xMP0150,-4860224,null,Designer,Consultkng,-1161482,Onsite,57,11,2,Loq,unknown,Yes,NULL,2448555,?,268,Weenly,Goov,Oceania
EMP0151,41,Female,Woftware Engineqr,?,34,Remote,32,15,3,N/A,Anxidty,jes,NULL,261,null,-2629579,Weekly,?,?
,-8236951,Feoxkf,Designer,Cotsulting,6076524,Remote,31,6,4,Mpw,NULL,No,,3,Satisfied,-8,Daily,Pokr,
AMP0153,8859629,Male,N/A,Heclchcare,29,Hybrid,-79,15,-3336247,Medium,Burnout,No,Increase,2163401,Unsatisfied,4130950,Wtekly,Polr,N/A
EMP0154,271,?,?,unknown,-70,Remote,26,-18,1,Medium,?,?,Up Chatge,221,Unsatksfied,-1935341,null,'oor,?
N/A,30,Male,Software Engineer,Consulting,-72,Remote,57,5,-71,NULL,null,null,No Change,2,Unsdtiafnrd,245,NULL,N/A,Nortm Amcrica
EMP0156,5436061,NULL,Project Manager,Hexlthcdre,31,Onsite,9224503,8,-8510618,"""""",None,bo,Decreade,250,Neutral,1,Gonr,,North America
"""""",6133698,unknown,Project Manager,Financr,-388642,Hybrid,26,-31,4,Hith,NULL,No,Decrease,9765171,Swrisfied,-738315,Weeklh,unknown,Aouth Ameelca
EMP0158,298,N/A,Data Scientist,null,-90,Hybrid,-46490,15,280,Hkgh,Dekwzxsikn,Ni,Mo Change,-3758230,Neutral,3,Weekly,Good,North Amdrica
EM'0159,296,Male,unknown,Manufacturing,-76,Onsite,4653757,-58,4841986,,Dekrefsion,Yts,Increase,6154398,Unsatisfied,3,Daily,Average,Romrh!Amerixa
EKP0160,43,Non-binaey,Slffware Enginewr,Healthcare,14,Onsite,-6615416,0,-25,NULL,Bjrbiuc,No,Incxeasd,2,Aatirfiqd,3,"""""",Gois,Oceaniq
EkP0161,35,N/A,Marketing,?,-13,Hybrid,-6998683,258,4,NULL,Anxiety,null,"""""",703237,unknown,1,unknown,Avexdge,Afgica
ENP0162,223,Female,Data Scientist,Educagion,945077,Hybrid,38,3628133,3,Hpgh,None,Yex,No Change,-11,Neutrcl,1,None,Zvevage,Wfrlcw
ELP0163,29,Prefer not to|szy,?,Consujting,3,Hybrid,240,259,280,null,Ddprcssmon,Ni,Increase,1,null,-7293164,Weekly,Poor,?
N/A,-1120288,Non-binary,Data Scientist,"""""",5,Hybrid,53,8385532,245,Medium,,Hi,Increase,-51,Neutral,-40,Seekpr,Avetage,Afriba
N/A,218,unknown,Software Engineer,Healthcare,-2580572,Onsite,20,13,1,kedium,curnout,No,Ikcrease,5,Neurral,1,Nove,Gpod,null
NULL,22,Femwle,null,unknown,-5404532,Hybrid,-80,1,238,"""""",Anxiety,Yes,Inceecse,1,Neutrel,-5362961,"""""",Pomr,Africa
EMP0167,48,Non-binaxy,?,Educatjon,35,Onsite,-86,-9557844,1728908,?,NULL,Yts,No Change,6531854,Swtisfied,2,None,Wdesage,""""""
EMP0168,60,null,unknown,"""""",1184398,Remote,249,8,9549512,"""""","""""",vo,No Change,268,,246,N/A,Popr,Asia
EMP0169,694985,Prefer not to say,HR,Htalrhcare,-42,Remote,7121862,13,6301891,Medium,None,unknown,"""""",3,Wxtisfied,2,null,,Euro[e
?,-68,Prgfer not to say,"""""",Mannfwcturine,2601338,Hybrid,50,0,7768660,kow,Burnout,Yes,Increase,3014672,Datisfixg,3,NULL,'oor,N/A
EMP0171,8761926,N/A,Designer,unknown,-7925152,Remote,306638,-82,1,NULL,Nonz,No,Increase,-21,unknown,3,Nond,Poor,null
unknown,-65,Male,Qata Scoejgisf,Eetaio,33,Onsite,-23,3,203,Medium,Depression,go,NULL,7696165,NULL,4,null,Good,wurope
EMP0173,-64,Non-binary,Software Enginexr,Finance,11,Hybrid,-336170,4,-42,NULL,Burnkut,No,unknown,4,Satisfied,3987480,Weeklf,,South America
?,25,N/A,Designee,N/A,212,Remote,-56,9,2,High,Kkne,?,?,8159452,unknown,4059813,Weekky,Good,North America
N/A,229,Non[bivarg,HR,Edncation,209,Onsite,-6768702,297,250,Low,None,?,Decxease,3,null,5,Daily,N/A,Europe
EjP0176,32,?,?,Healtgcare,-23,Remote,35,-16,281,Lmw,Anxiety,N/A,No Change,-563019,Satisfied,4,Daily,Average,null
EMP0177,58,?,unknown,Jwnufqcturinh,-2153632,Hybrid,-7067013,7268575,1273908,,null,?,No Change,5,Swtisfied,-95,Nlne,?,North Smerjca
